Grouped_commodity,Commodity,Country,Forced Labor,Child Labor,Doc_Source1,Doc_Source2,Tier,Year,TierNum,,,,,,,,,,,,,,,,
Agriculture,Açaí Berries,Brazil,,CL,Department of Labor 2022,,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Artificial Flowers,China,FL,,Department of Labor 2022,,Tier 3,2021,3,,,,,,,,,,,,,,,,
Agriculture,Bamboo,Myanmar,FL,CL,Department of Labor 2022,Verite,Tier 2 Watch List,2021,2.5,,,,,,,,,,,,,,,,
Agriculture,Bamboo,Viet nam,FL,,Verite,,Tier 2 Watch List,2021,2.5,,,,,,,,,,,,,,,,
Agriculture,Bananas,Belize,,CL,Department of Labor 2022,Verite,Tier 2 Watch List,2021,2.5,,,,,,,,,,,,,,,,
Agriculture,Bananas,Brazil,,CL,Department of Labor 2022,,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Bananas,Ecuador,,CL,Department of Labor 2022,Verite,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Bananas,Nicaragua,,CL,Department of Labor 2022,Verite,Tier 3,2021,3,,,,,,,,,,,,,,,,
Agriculture,Bananas,Philippines,,CL,Department of Labor 2022,Verite,Tier 1,2021,1,,,,,,,,,,,,,,,,
Agriculture,Beans,Afghanistan,,CL,Verite,,Tier 3,2021,3,,,,,,,,,,,,,,,,
Agriculture,Beans,Mexico,,CL,Department of Labor 2022,Verite,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Beans,Myanmar,FL,CL,Department of Labor 2022,Verite,Tier 2 Watch List,2021,2.5,,,,,,,,,,,,,,,,
Agriculture,Beans,Paraguay,,CL,Department of Labor 2022,,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Beans,Turkey,,CL,Verite,,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Blueberries,Argentina,,CL,Department of Labor 2022,,Tier 1,2021,1,,,,,,,,,,,,,,,,
Agriculture,Broccoli,Guatemala,,CL,Department of Labor 2022,,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Cabbages,Paraguay,,CL,Department of Labor 2022,,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Carrots,Paraguay,,CL,Department of Labor 2022,,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Cereal Grains,El Salvador,,CL,Department of Labor 2022,,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Chile Peppers,Mexico,FL,CL,Department of Labor 2022,,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Citrus,Belize,,CL,Department of Labor 2022,Verite,Tier 2 Watch List,2021,2.5,,,,,,,,,,,,,,,,
Agriculture,Citrus,Turkey,,CL,Department of Labor 2022,Verite,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Citrus,United States,FL,CL,Verite,,Tier 1,2021,1,,,,,,,,,,,,,,,,
Agriculture,Cloves,Tanzania,,CL,Department of Labor 2022,,Tier 2 Watch List,2021,2.5,,,,,,,,,,,,,,,,
Agriculture,Coca (stimulant plant),Colombia,FL,CL,Department of Labor 2022,,Tier 1,2021,1,,,,,,,,,,,,,,,,
Agriculture,Coca (stimulant plant),Peru,,CL,Department of Labor 2022,,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Cocoa,Brazil,,CL,Department of Labor 2022,,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Cocoa,Cameroon,FL,CL,Department of Labor 2022,Verite,Tier 2 Watch List,2021,2.5,,,,,,,,,,,,,,,,
Agriculture,Cocoa,Congo,FL,,Verite,,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Cocoa,Ghana,,CL,Department of Labor 2022,Verite,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Cocoa,Guinea,,CL,Department of Labor 2022,Verite,Tier 2 Watch List,2021,2.5,,,,,,,,,,,,,,,,
Agriculture,Cocoa,Ivory Coast,FL,CL,Department of Labor 2022,Verite,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Cocoa,Nigeria,FL,CL,Department of Labor 2022,Verite,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Cocoa,Sierra Leone,,CL,Department of Labor 2022,Verite,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Cocoa,Togo,FL,,Verite,,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Coconuts,Philippines,,CL,Department of Labor 2022,,Tier 1,2021,1,,,,,,,,,,,,,,,,
Agriculture,Coffee,Brazil,FL,CL,Department of Labor 2022,,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Coffee,Colombia,,CL,Department of Labor 2022,Verite,Tier 1,2021,1,,,,,,,,,,,,,,,,
Agriculture,Coffee,Costa Rica,,CL,Department of Labor 2022,Verite,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Coffee,Dominican Republic,,CL,Department of Labor 2022,Verite,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Coffee,El Salvador,,CL,Department of Labor 2022,Verite,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Coffee,Guatemala,,CL,Department of Labor 2022,Verite,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Coffee,Guinea,,CL,Department of Labor 2022,Verite,Tier 2 Watch List,2021,2.5,,,,,,,,,,,,,,,,
Agriculture,Coffee,Honduras,,CL,Department of Labor 2022,Verite,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Coffee,Ivory Coast,FL,CL,Department of Labor 2022,Verite,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Coffee,Kenya,,CL,Department of Labor 2022,Verite,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Coffee,Mexico,FL,CL,Department of Labor 2022,Verite,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Coffee,Nicaragua,,CL,Department of Labor 2022,Verite,Tier 3,2021,3,,,,,,,,,,,,,,,,
Agriculture,Coffee,Panama,,CL,Department of Labor 2022,Verite,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Coffee,Sierra Leone,,CL,Department of Labor 2022,Verite,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Coffee,Tanzania,,CL,Department of Labor 2022,Verite,Tier 2 Watch List,2021,2.5,,,,,,,,,,,,,,,,
Agriculture,Coffee,Togo,FL,,Verite,,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Coffee,Uganda,,CL,Department of Labor 2022,Verite,Tier 2 Watch List,2021,2.5,,,,,,,,,,,,,,,,
Agriculture,Coffee,Viet nam,,CL,Department of Labor 2022,Verite,Tier 2 Watch List,2021,2.5,,,,,,,,,,,,,,,,
Agriculture,Corn,Bolivia,FL,CL,Department of Labor 2022,Verite,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Corn,Brazil,,CL,Department of Labor 2022,,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Corn,Guatemala,,CL,Department of Labor 2022,Verite,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Corn,Paraguay,,CL,Department of Labor 2022,,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Corn,Philippines,,CL,Department of Labor 2022,Verite,Tier 1,2021,1,,,,,,,,,,,,,,,,
Agriculture,Corn,United States,,CL,Verite,,Tier 1,2021,1,,,,,,,,,,,,,,,,
Agriculture,Cucumbers,Mexico,,CL,Department of Labor 2022,,Tier 2,2021,2,,,,,,,,,,,,,,,,
Agriculture,Cumin,Turkey,,CL,Department of Labor 2022,,Tier 2,2021,2,,,,,,,,,,,,,,,,
